number;title;timestamp
422; Campers hear possible vocalizations in the Okanogon Nat. Forest2000-10-06T12:00:00Z;2000-10-06T12:00:00Z
423;" Daylight sighting by fisherman near Easton Washington""";2000-10-08T12:00:00Z
430; Brothers hear howl while trailblazing1981-08-15T12:00:00Z;1981-08-15T12:00:00Z
431; Sound and Footprint Reports from Stanislaus National Forest1981-06-15T12:00:00Z;1981-06-15T12:00:00Z
435; Daylight sighting by husband and wife near home near Valhermosa Springs2000-10-10T12:00:00Z;2000-10-10T12:00:00Z
439;" Charateristic vocalizations heard by residents at night in Fall and Winter  near Minden""";1998-11-01T12:00:00Z
440; A daylight sighting report by an ex soldier2000-10-10T12:00:00Z;2000-10-10T12:00:00Z
444; Family sightings over 100 years in Fayette and Fulton Counties1986-04-15T12:00:00Z;1986-04-15T12:00:00Z
445; Boy Scouts have sighting while camping at Quednau Ranch1962-08-15T12:00:00Z;1962-08-15T12:00:00Z
446; Security Guards have sighting while on duty near Jacksonville2000-09-22T12:00:00Z;2000-09-22T12:00:00Z
447; Unusual incident... a horseback rider's close encounter1974-06-15T12:00:00Z;1974-06-15T12:00:00Z
448; Daylight sighting by ranchers on the banks of the Canadian River2000-07-05T12:00:00Z;2000-07-05T12:00:00Z
450; Possible vocalizations heard by campers on the Blueridge Parkway2000-09-09T12:00:00Z;2000-09-09T12:00:00Z
451; Young man has sighting near home1993-08-20T12:00:00Z;1993-08-20T12:00:00Z
455;" Squaw Lake fisherman followed.  Unrecognized stench knocking and high pitch howl heard while fishing along lake shore""";1998-08-15T12:00:00Z
470; Late night sighting by backpacker near Crater Lake2000-08-23T12:00:00Z;2000-08-23T12:00:00Z
475; Rock hunters watch tall upright figure along Lake Superior near Newberry2005-07-15T12:00:00Z;2005-07-15T12:00:00Z
483; Multiple witnesses describe multiple encounters1996-04-15T12:00:00Z;1996-04-15T12:00:00Z
495;" Passing motorist observes a tall hairy animal in the headlights along a side road just off of the Orting-Kapowsin Highway""";2000-10-07T12:00:00Z
496; Campers see large figure cross river in moonlight1977-08-15T12:00:00Z;1977-08-15T12:00:00Z
502; Three people report screams near Foresthill2000-06-17T12:00:00Z;2000-06-17T12:00:00Z
511; Daylight sighting by duck hunter near Pella.2000-10-24T12:00:00Z;2000-10-24T12:00:00Z
513; Future doctor sees giant tracks high in Rawah wilderness1971-07-15T12:00:00Z;1971-07-15T12:00:00Z
514; Early evening sighting by motorist near Sorrento2000-10-23T12:00:00Z;2000-10-23T12:00:00Z
528; Three children have daytime sighting near Eureka1957-06-01T12:00:00Z;1957-06-01T12:00:00Z
529;" Couple hears strange cry finds big footprints in Pike National Forest near Fairplay""";2000-09-21T12:00:00Z
531;" Woman witnesses large hairy man-like creature outside home""";1994-10-15T12:00:00Z
548; Motorist observes bipedal creature crossing highway2000-10-30T12:00:00Z;2000-10-30T12:00:00Z
553; Morning sighting by brothers near Yoncalla1980-10-04T12:00:00Z;1980-10-04T12:00:00Z
562; Hunting party reports frightening vocalization1990-11-10T12:00:00Z;1990-11-10T12:00:00Z
564; Witness observes sasquatch run along treeline1996-05-01T12:00:00Z;1996-05-01T12:00:00Z
568; Loud low moan then rose quickly to a high pitched scream heard1990-09-22T12:00:00Z;1990-09-22T12:00:00Z
577; Man has repeated visits at family farm1999-11-15T12:00:00Z;1999-11-15T12:00:00Z
591;" Driver stops car momentarily on Nova Rd. witnesses a 7-8 foot tall dark creature approach his car..""";1989-09-15T12:00:00Z
592;" Two witnesses observed a large black-brown human-like form  between Wiles Rd. and Sample Rd""";1975-01-15T12:00:00Z
594;" a sighting by a group of boys along a canal a mile or so north of South New River.""";1980-07-15T12:00:00Z
595;" Father and son were out scouting for deer when they spot large eyes 8 foot off the gound also hear loud scream.""";1983-07-16T12:00:00Z
598; Vocalizations and Footsteps heard2000-10-28T12:00:00Z;2000-10-28T12:00:00Z
604; Nightime sighting by motorists near Boring1971-06-25T12:00:00Z;1971-06-25T12:00:00Z
606; witness observed creature running across the road1986-08-15T12:00:00Z;1986-08-15T12:00:00Z
607;" while hunting hogs near a cypress bayhead witness saw a dark brown/black bi-pedal creature.""";1983-11-19T12:00:00Z
615;" Sighting by woman in Eagle Meadow above Strawberry""";1997-11-15T12:00:00Z
624; Sounds heard at Skookum Lake.1991-07-04T12:00:00Z;1991-07-04T12:00:00Z
629; Hunter locates large footprints near Railroad Flats1968-09-01T12:00:00Z;1968-09-01T12:00:00Z
637; Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve2000-06-16T12:00:00Z;2000-06-16T12:00:00Z
638; Series of encounters with bigfoot in close proximity to Sulphur River2003-12-15T12:00:00Z;2003-12-15T12:00:00Z
657;" A man and woman report smelling a strange powerful odor while on a forest road late at night""";1993-08-02T12:00:00Z
673; Hiker encounters large animal at close range in Mount Washington Wilderness2000-07-15T12:00:00Z;2000-07-15T12:00:00Z
679; Marine had late night sighting on military base in Quantico1957-07-01T12:00:00Z;1957-07-01T12:00:00Z
690; Close-range observation lasting roughly 1.5 hours1998-08-02T12:00:00Z;1998-08-02T12:00:00Z
694; Family sees stooped-over creature walking along forest line1991-07-15T12:00:00Z;1991-07-15T12:00:00Z
702; Group of people witness two Sasquatch run through a clearing1997-11-10T12:00:00Z;1997-11-10T12:00:00Z
707; Camp counselor doing trail work has daylight sighting near the Molalla River1995-07-15T12:00:00Z;1995-07-15T12:00:00Z
717; Unusual shadow seen through window near Branson. Large footprints found the next morning1981-08-01T12:00:00Z;1981-08-01T12:00:00Z
720;" Hunter reports finding strange tracks in the Everglades near the area of the Dade County and Collier County line between Big Cypress and Alligator Alley.""";1993-11-20T12:00:00Z
721; Series of reports (6) concerning the Skunk Ape.  Photos of the creature and footcasts1997-07-17T12:00:00Z;1997-07-17T12:00:00Z
722; Five or Six foot tall ape looking creature observed picking up road kill.1998-02-09T12:00:00Z;1998-02-09T12:00:00Z
723; creature sitting on a wood pile seen watching witness.1969-06-15T12:00:00Z;1969-06-15T12:00:00Z
724; Upright creature seen by 3 men fishing in a boat 3 miles from Greenwood1990-08-15T12:00:00Z;1990-08-15T12:00:00Z
725; Large tracks found investigated by Federal authorities1980-07-02T12:00:00Z;1980-07-02T12:00:00Z
726; A hitchhiker reports seeing a bigfoot in a forested area off U.S. 4411977-10-05T12:00:00Z;1977-10-05T12:00:00Z
728;" a close-range daytime sighting by a 67-year-old Baptist minister""";1977-11-15T12:00:00Z
729; a daylight sighting by a family on a camping trip1997-07-25T12:00:00Z;1997-07-25T12:00:00Z
730;" Sighting by Five witnesses of a large humanoid form.""";1996-09-15T12:00:00Z
731; Motorist found six thirteen by eight and a half inch tracks near a small bridge that led to a large gate.1999-03-13T12:00:00Z;1999-03-13T12:00:00Z
733; creature observed walking weird and slightly hunched over.1998-11-22T12:00:00Z;1998-11-22T12:00:00Z
734; creature seen in the woods.1999-05-21T12:00:00Z;1999-05-21T12:00:00Z
736; while sitting on a tree stand hunter observed bi-pedal creature walking at high speeds.1999-01-02T12:00:00Z;1999-01-02T12:00:00Z
737; creature seen in an open field by witness.1984-06-15T12:00:00Z;1984-06-15T12:00:00Z
739; Three youths find footprints while walking along riverbank2000-10-14T12:00:00Z;2000-10-14T12:00:00Z
741; Hunter finds unrecognizable scat near Guler Mountain.2000-09-14T12:00:00Z;2000-09-14T12:00:00Z
742; Boys have early morning encounter at watermelon patch off road1992-06-17T12:00:00Z;1992-06-17T12:00:00Z
746; Sighting by two newspaper deliverymen around 31989-04-17T12:00:00Z;1989-04-17T12:00:00Z
747; 1. loud vocalization sounds woke sleeping couple. 2. family dog found injured1999-10-15T12:00:00Z;1999-10-15T12:00:00Z
751; Hunter describes described being stalked near Minot2000-04-21T12:00:00Z;2000-04-21T12:00:00Z
799;" Person fishing recounts story of his encounter with a large bipedal creature that was wading in the water""";1978-04-15T12:00:00Z
810;" witness describes an """"ape-like"""" creature along a road.""1997-11-15T12:00:00Z";1997-11-15T12:00:00Z
815;" Witness observes strange """"monkey-like"""" animal from bedroom window.""1987-08-15T12:00:00Z";1987-08-15T12:00:00Z
816; Camper experiences strange night time visitor near Groveland1985-06-01T12:00:00Z;1985-06-01T12:00:00Z
819; Sightings by hunting guide in Pike National Forest1999-09-11T12:00:00Z;1999-09-11T12:00:00Z
832;" Witnesses spot a tall brown object moving on a hill also reported are moans and a sighting where red eyes are described""";1980-11-15T12:00:00Z
841; Boy has several late night encounters near Sidney1982-11-01T12:00:00Z;1982-11-01T12:00:00Z
849; Girl has daytime sighting near Payne's Creek1968-11-01T12:00:00Z;1968-11-01T12:00:00Z
857; Possible sighting around 21968-09-24T12:00:00Z;1968-09-24T12:00:00Z
865; Two 4-wheelers have night sighting above Huntington Lake1997-12-18T12:00:00Z;1997-12-18T12:00:00Z
868; Campers have sighting above Pinecrest1994-06-01T12:00:00Z;1994-06-01T12:00:00Z
875; Man has sighting near Alturas1974-06-01T12:00:00Z;1974-06-01T12:00:00Z
878;" Hikers spot white bigfoot at Higbanks Park outside Columbus OH""";1989-08-15T12:00:00Z
880; Rockhound startled to find he's being observed1998-09-28T12:00:00Z;1998-09-28T12:00:00Z
889; Climber has night-time sighting near Mt. Adams wilderness1991-07-15T12:00:00Z;1991-07-15T12:00:00Z
898; Young hunter sees an upright walking animal1984-07-08T12:00:00Z;1984-07-08T12:00:00Z
903; Sighting by a motorist near the park entrance approach from Cody1997-07-24T12:00:00Z;1997-07-24T12:00:00Z
912;" While observing a footprint  youth looks off the path to see shiny haired creature looking at him""";1978-08-15T12:00:00Z
913; Hikers see creature in Desolation Wilderness2000-07-01T12:00:00Z;2000-07-01T12:00:00Z
919; Car passenger has nighttime sighting near Lake Tahoe1996-04-10T12:00:00Z;1996-04-10T12:00:00Z
925;" Backpacker observes a tall early morning visitor in camp""";1968-08-30T12:00:00Z
927;" Campers hear loud animal """"roars"""" from inside the treeline of a clear-cut""";1975-08-10T12:00:00Z
928; Hikers find tracks and a possible nest1977-05-22T12:00:00Z;1977-05-22T12:00:00Z
929;" Camper experiences odd odors and sounds feels presence""";1997-05-15T12:00:00Z
930; Sighting by a school group on summer field trip1984-07-18T12:00:00Z;1984-07-18T12:00:00Z
933; Family has face to face encounter with sasquatch in their back yard1989-06-14T12:00:00Z;1989-06-14T12:00:00Z
937;" Witnesses hear odd loud vocalization while in the forest traveling on a logging road""";1985-06-28T12:00:00Z
938; Unusual tracks found.1991-09-15T12:00:00Z;1991-09-15T12:00:00Z
939;" Large bipedal creature looking in the cabin window""";2000-01-24T12:00:00Z
940; Creature stepping over a guardrail1984-07-14T12:00:00Z;1984-07-14T12:00:00Z
941; Sighting by a hunter on the edge of a road1981-09-15T12:00:00Z;1981-09-15T12:00:00Z
942; 17-18 inch tracks in the mud1996-04-14T12:00:00Z;1996-04-14T12:00:00Z
945; Creature with red glowing eyes seen1999-03-19T12:00:00Z;1999-03-19T12:00:00Z
946;" Unusual sounds heard sighting of fast upright animal""";1995-07-01T12:00:00Z
956;" Two men four wheel driving see Sasquatch on FS road""";1982-11-26T12:00:00Z
958;" Family find fresh barefooted humanlike footprints.""";1994-10-01T12:00:00Z
959; Sighting by a deer hunter on a logging road.1997-10-15T12:00:00Z;1997-10-15T12:00:00Z
961;" Motorist confronted by hairy man-like creature on roadside""";1997-01-06T12:00:00Z
967; Teenage dirt bike riders hear screams1974-07-06T12:00:00Z;1974-07-06T12:00:00Z
980; Elk hunter spots reddish-brown sasquatch2001-03-05T12:00:00Z;2001-03-05T12:00:00Z
982; Tracks found in West Branch State Park1999-08-15T12:00:00Z;1999-08-15T12:00:00Z
986; Hunter observes trio of animals near Nestor Peak Lookout1982-10-15T12:00:00Z;1982-10-15T12:00:00Z
989; Deer hunter spots a large animal run across open area1982-01-15T12:00:00Z;1982-01-15T12:00:00Z
1003; Two horseback riders see hairy creature1984-10-15T12:00:00Z;1984-10-15T12:00:00Z
1018; A man driving stops to watch a hair covered creature walk across a cornfield1989-11-01T12:00:00Z;1989-11-01T12:00:00Z
1021; Large Creature standing in road1971-07-15T12:00:00Z;1971-07-15T12:00:00Z
1022; Hunters observe creature walking in the woods1990-09-15T12:00:00Z;1990-09-15T12:00:00Z
1024; An account of bigfoot tool use1953-10-01T12:00:00Z;1953-10-01T12:00:00Z
1030;" 5 children observe a very large hairy """"man"""" for several minutes (N. Ft. Myers)""1973-08-23T12:00:00Z";1973-08-23T12:00:00Z
1031; Large Bipedal Animal Seen Crossing Rural Road and Climbing Cutbank1980-02-15T12:00:00Z;1980-02-15T12:00:00Z
1036; Camper experiences unusual early morning scream near Kernville1994-08-01T12:00:00Z;1994-08-01T12:00:00Z
1043; Mother relates story of daughter sighting a large animal near Mill A School1950-05-01T12:00:00Z;1950-05-01T12:00:00Z
1045; Father and son have a daylight encounter while deer hunting near Lawrenceburg2005-01-09T12:00:00Z;2005-01-09T12:00:00Z
1046; Sasquatch surprises hunter in prairie grass while hunting with bb gun2000-11-25T12:00:00Z;2000-11-25T12:00:00Z
1055; Two hikers have morning sighting in the Desolation Wilderness1993-04-01T12:00:00Z;1993-04-01T12:00:00Z
1061; June 1984 Manatee County FL  Late evening sighting by 9 yr/old camper off Little Manatee River in Ruskin1984-06-16T12:00:00Z;1984-06-16T12:00:00Z
1063;" Coon hunters observe large hairy """"monkey"""" in pin oak""";2003-10-22T12:00:00Z
1065; Brothers see sasquatch watching them2001-03-20T12:00:00Z;2001-03-20T12:00:00Z
1068; Two fisherman have daytime sighting above Huntington Lake1995-10-29T12:00:00Z;1995-10-29T12:00:00Z
1075; Teens fire at big black thing peeking in window of home1977-05-01T12:00:00Z;1977-05-01T12:00:00Z
1077; Motorist has a daytime sighting of bigfoot crossing a road1995-04-17T12:00:00Z;1995-04-17T12:00:00Z
1079; Foot steps heard in wood line. Weeks later more sounds heard1981-10-15T12:00:00Z;1981-10-15T12:00:00Z
1090; Girl has daytime sighting near Twain Harte1978-08-01T12:00:00Z;1978-08-01T12:00:00Z
1099; Campsite intrusion near river.1986-06-15T12:00:00Z;1986-06-15T12:00:00Z
1100; Two fisherman run from a large screaming creature in the woods near Highway 71983-05-15T12:00:00Z;1983-05-15T12:00:00Z
1102;" Father and son glimpse large upright animal while hunting near Smith Slough""";1996-11-01T12:00:00Z
1105; Newspaper article about a track find and investigation1997-11-07T12:00:00Z;1997-11-07T12:00:00Z
1106; French hiker observes two bigfoot in Olympic National Park2001-01-04T12:00:00Z;2001-01-04T12:00:00Z
1109; Campers hear vocalizations near Clear Lake2000-07-15T12:00:00Z;2000-07-15T12:00:00Z
1113; Northeast Washington resident sees a bigfoot looking in the window1981-07-02T12:00:00Z;1981-07-02T12:00:00Z
1115; Hair raising screams heard in the forest behind a four acre rye field.1954-06-30T12:00:00Z;1954-06-30T12:00:00Z
1116; Hunters heard two highpitched screams.1998-11-20T12:00:00Z;1998-11-20T12:00:00Z
1117;" Daytime sighting by two witnesses near Geneva at the end of Timberwoods Rd""";2000-12-28T12:00:00Z
1118; Witness saw man-like creature in a corn field.1997-06-15T12:00:00Z;1997-06-15T12:00:00Z
1120; Sasquatch encountered standing by porch1971-06-01T12:00:00Z;1971-06-01T12:00:00Z
1123; Footprints photographed in Yellow Canyon.2001-01-06T12:00:00Z;2001-01-06T12:00:00Z
1131; Hunter hears strange noises near Montesano2000-12-01T12:00:00Z;2000-12-01T12:00:00Z
1132; Witness noticed creature was human shaped.1976-09-01T12:00:00Z;1976-09-01T12:00:00Z
1135; A man gathering firewood for his campsite with his ATV encounters a large ape-like animal in a creek bed1991-03-31T12:00:00Z;1991-03-31T12:00:00Z
1136; Creature seen stepping over four foot barbed wire fence near the town of Louisiana1972-07-15T12:00:00Z;1972-07-15T12:00:00Z
1138;" Family witness a 7-8 foot tall creature covered with hair standing in the middle of the road""";1989-02-15T12:00:00Z
1141; Two six foot tall creatures seen by witness.1982-07-15T12:00:00Z;1982-07-15T12:00:00Z
1148;" Family camping encounter large fur covered creature. Footprints are discovered at the campsite""";1977-08-15T12:00:00Z
1149; Late Afternoon sighting by motorist near Blue Springs1974-09-30T12:00:00Z;1974-09-30T12:00:00Z
1150;" Ape-like creature seen by a motorist crossing the road and enter a wooded area near Ozora Missouri""";2000-05-31T12:00:00Z
1152; Hunter has evening sighting near Bazile Creek State Wildlife Management Area.1979-09-15T12:00:00Z;1979-09-15T12:00:00Z
1155; Newspaper account of an encounter with an unknown creature near Salt Creek1980-06-30T12:00:00Z;1980-06-30T12:00:00Z
1158; Child encounters a man-like creature in a shed.1956-10-15T12:00:00Z;1956-10-15T12:00:00Z
1160; Woman hears unrecognizable vocalizations near Cle Elum1997-01-01T12:00:00Z;1997-01-01T12:00:00Z
1197; Several sighting reports near the Racoon River within days of each other.1978-11-15T12:00:00Z;1978-11-15T12:00:00Z
1200;" Witness heard what sounded like """"people talking backwards.""""""1980-07-01T12:00:00Z";1980-07-01T12:00:00Z
1201; Drain pipes knocked down after strange howls/screams were heard1978-12-01T12:00:00Z;1978-12-01T12:00:00Z
1202; Series of accounts under investigation by the curators regarding reports of a large creature.1999-04-20T12:00:00Z;1999-04-20T12:00:00Z
1203; Many tracks found and terrible screams heard1998-08-01T12:00:00Z;1998-08-01T12:00:00Z
1204; Two hunters hear strange sounds similar to a woman screaming1997-12-01T12:00:00Z;1997-12-01T12:00:00Z
1205; Witness sees a large creature crossing the road1998-01-28T12:00:00Z;1998-01-28T12:00:00Z
1207;" One of several  sighting and vocalization reports. When witness called out """" it stood up at the edge of the hill and huffed and puffed.""""""1983-09-01T12:00:00Z";1983-09-01T12:00:00Z
1208;" Vocalizing smelly animal circles cabin""";1982-03-14T12:00:00Z
1213; Encounter on Toledo Bend2004-02-03T12:00:00Z;2004-02-03T12:00:00Z
1225; Creature seen crossing road1997-07-03T12:00:00Z;1997-07-03T12:00:00Z
1226; Teens returning from baseball game were chased by bigfoot.1972-08-31T12:00:00Z;1972-08-31T12:00:00Z
1227; Tracks found on an old logging trail.1996-04-17T12:00:00Z;1996-04-17T12:00:00Z
1228;" Youngster frightened by """"monster"""" peeping in window""1971-10-01T12:00:00Z";1971-10-01T12:00:00Z
1229; Boy Scout has late night sighting above Porterville1955-08-01T12:00:00Z;1955-08-01T12:00:00Z
1232; Family marvels at huge barefoot tracks in snow2000-12-20T12:00:00Z;2000-12-20T12:00:00Z
1234; Creature observed by witness.1970-08-15T12:00:00Z;1970-08-15T12:00:00Z
1237; While standing on the deck of vacation home man hears eerie human-like calls2000-09-01T12:00:00Z;2000-09-01T12:00:00Z
1240; Sighting near Yellowstone Park entrance by two witnesses cutting wood1997-11-02T12:00:00Z;1997-11-02T12:00:00Z
1241; Two gov't geologists witness hominoid creature cross road about 30 min. east of Yellowstone Park's East Gate1978-05-15T12:00:00Z;1978-05-15T12:00:00Z
1242;" Day hiker sees large hairy animal which seems to follow him""";2000-07-14T12:00:00Z
1251; Threatening bellows directed at hikers and their dogs in the Holy Cross Wilderness2000-09-19T12:00:00Z;2000-09-19T12:00:00Z
1263; Rooks Park Investigation2001-01-16T12:00:00Z;2001-01-16T12:00:00Z
1265;" Sighting of 8-foot tall upright creature""";2001-01-04T12:00:00Z
1268;" More sightings of a strange creature centering around the town of Ottosen. Other stories told about strange sounds footprints and animal mutilatations.""";1978-09-12T12:00:00Z
1270;" Newspaper article about """"The Lockridge Monster.""""""1975-10-28T12:00:00Z";1975-10-28T12:00:00Z
1271;" Six foot tall or taller black creature was observed leaping into the air and disappearing into the trees on a bike trail near the Des Moines River""";2000-02-15T12:00:00Z
1274; Bigfoot creature being seen & heard throughout night and footprint evidence found1997-08-09T12:00:00Z;1997-08-09T12:00:00Z
1275; Bigfoot rips door off of home. Witness has to flee from home1980-04-15T12:00:00Z;1980-04-15T12:00:00Z
1278;" While hunting with his dog a hunter observes a creature in the brush""";1980-11-15T12:00:00Z
1283;  Heard and then chased by creature1992-02-15T12:00:00Z;1992-02-15T12:00:00Z
1296; A geologist witnesses a reddish-brown animal hanging from a low branch over the bridge on the opposite bank of the creek from him.1997-09-28T12:00:00Z;1997-09-28T12:00:00Z
1297; Man and his mother witness a Sasquatch while walking in the woods.1997-07-15T12:00:00Z;1997-07-15T12:00:00Z
1298; Morning road crossing sighting near the town of Edmond.1997-07-07T12:00:00Z;1997-07-07T12:00:00Z
1299;" Sighting by logger Recent incidents near a rural home.""";2000-01-28T12:00:00Z
1300;" 12""""-14"""" tracks found by two friends after they felt like they were being """" stalked """" by something unknown while deer hunting.""1999-11-28T12:00:00Z";1999-11-28T12:00:00Z
1301; Three witnesses have daytime sighting near Strawberry1978-07-30T12:00:00Z;1978-07-30T12:00:00Z
1303; Sisters observe tall hairy creature running away from them1942-04-01T12:00:00Z;1942-04-01T12:00:00Z
1305; Creature observed running across the road.1992-03-01T12:00:00Z;1992-03-01T12:00:00Z
1311; Daylight sighting by two moto-cross riders1980-07-20T12:00:00Z;1980-07-20T12:00:00Z
1312;"  Chief of police in Chetopa finds two and a half miles of tracks that measured 17 inches in length 5 5/8 in width. Thousands of curious people came out to look at the tracks. The incident was reported on the local TV news""";1978-02-23T12:00:00Z
1313;  creature walked directly towards witness.1987-11-15T12:00:00Z;1987-11-15T12:00:00Z
1314;" Large dark figure seen standing down by the mailbox.""";1998-10-15T12:00:00Z
1315; Couple reported being stalked while walking along a dark country road.2001-01-18T12:00:00Z;2001-01-18T12:00:00Z
1318; Early evening sighting in Canyon City1976-08-25T12:00:00Z;1976-08-25T12:00:00Z
1325;" Fisherman hears heavy breathing turns and sees tall man-like creature""";1978-07-10T12:00:00Z
1326; Early morning sighting by a hunter1975-11-15T12:00:00Z;1975-11-15T12:00:00Z
1327; A woman and her daughter report being followed by a large animal as they walked along a dark country lane near their home1998-05-24T12:00:00Z;1998-05-24T12:00:00Z
1330; Motorist's sighting results in a collision.1960-01-01T12:00:00Z;1960-01-01T12:00:00Z
1332;" newspaper article about a sighting by a jogger. Later a sherif deputy found a track at the scene of the incident.""";1977-11-25T12:00:00Z
1338; Several incidents in the East Fork Community1973-01-01T12:00:00Z;1973-01-01T12:00:00Z
1339; Creature seen by witnesses1950-01-01T12:00:00Z;1950-01-01T12:00:00Z
1341;" Family witness a large hair covered creature eating food from their garden.""";1975-07-01T12:00:00Z
1342;" Child sees a large dark face staring at him from the bushes.""";1977-04-30T12:00:00Z
1344; while playing tag with several other children witness saw a white hairy creature.1978-08-06T12:00:00Z;1978-08-06T12:00:00Z
1345; creature leaned on the hood of a car.1997-10-16T12:00:00Z;1997-10-16T12:00:00Z
