cityName;stateID;stateName;country
Sunnyvale;CA;California;USA
New Bedford;MA;Massachusetts;USA
Hollywood;FL;Florida;USA
South Lyon;MI;Michigan;USA
Escondido;CA;California;USA
Lake Charles;LA;Louisiana;USA
Pasadena;TX;Texas;USA
Bellevue;WA;Washington;USA
Joliet;IL;Illinois;USA
Champaign;IL;Illinois;USA
Pomona;CA;California;USA
Fairfield;CA;California;USA
Mesquite;TX;Texas;USA
Elkhart;IN;Indiana;USA
Naperville;IL;Illinois;USA
St. George;UT;Utah;USA
Roseville;CA;California;USA
Topeka;KS;Kansas;USA
Burlington;NC;North Carolina;USA
Warner Robins;GA;Georgia;USA
Surprise;AZ;Arizona;USA
Torrance;CA;California;USA
Santa Maria;CA;California;USA
Athens;GA;Georgia;USA
Houma;LA;Louisiana;USA
Columbia;MO;Missouri;USA
Fullerton;CA;California;USA
Olathe;KS;Kansas;USA
Thornton;CO;Colorado;USA
Greeley;CO;Colorado;USA
Beaumont;TX;Texas;USA
Las Cruces;NM;New Mexico;USA
Midland;TX;Texas;USA
Metairie;LA;Louisiana;USA
Carolina;PR;Puerto Rico;USA
West Valley City;UT;Utah;USA
Orange;CA;California;USA
Warren;MI;Michigan;USA
Grand Junction;CO;Colorado;USA
Tyler;TX;Texas;USA
Pasadena;CA;California;USA
Hampton;VA;Virginia;USA
Bloomington;IL;Illinois;USA
Elizabeth;NJ;New Jersey;USA
Stamford;CT;Connecticut;USA
Yuma;AZ;Arizona;USA
Kent;WA;Washington;USA
Miramar;FL;Florida;USA
Coeur d'Alene;ID;Idaho;USA
Coral Springs;FL;Florida;USA
Sterling Heights;MI;Michigan;USA
Yuba City;CA;California;USA
Yakima;WA;Washington;USA
Carrollton;TX;Texas;USA
Racine;WI;Wisconsin;USA
Johnson City;TN;Tennessee;USA
Billings;MT;Montana;USA
Iowa City;IA;Iowa;USA
Dover;DE;Delaware;USA
Bellingham;WA;Washington;USA
Charleston;WV;West Virginia;USA
Lynchburg;VA;Virginia;USA
Santa Clara;CA;California;USA
Norman;OK;Oklahoma;USA
Greenville;NC;North Carolina;USA
Simi Valley;CA;California;USA
Fort Smith;AR;Arkansas;USA
Abilene;TX;Texas;USA
Arecibo;PR;Puerto Rico;USA
Lewisville;TX;Texas;USA
Pearland;TX;Texas;USA
Lehigh Acres;FL;Florida;USA
Kenosha;WI;Wisconsin;USA
Seaside;CA;California;USA
Burlington;VT;Vermont;USA
Arvada;CO;Colorado;USA
Waldorf;MD;Maryland;USA
Independence;MO;Missouri;USA
Rochester;MN;Minnesota;USA
Logan;UT;Utah;USA
Harlingen;TX;Texas;USA
Berkeley;CA;California;USA
Clovis;CA;California;USA
Round Rock;TX;Texas;USA
Pueblo;CO;Colorado;USA
Temple;TX;Texas;USA
Meridian;ID;Idaho;USA
Duluth;MN;Minnesota;USA
The Woodlands;TX;Texas;USA
Boulder;CO;Colorado;USA
Richardson;TX;Texas;USA
Cambridge;MA;Massachusetts;USA
West Palm Beach;FL;Florida;USA
Port Arthur;TX;Texas;USA
East Los Angeles;CA;California;USA
Redding;CA;California;USA
Clearwater;FL;Florida;USA
Monroe;LA;Louisiana;USA
Utica;NY;New York;USA
St. Cloud;MN;Minnesota;USA
Mandeville;LA;Louisiana;USA
West Jordan;UT;Utah;USA
North Charleston;SC;South Carolina;USA
Richmond;CA;California;USA
Westminster;CO;Colorado;USA
Saginaw;MI;Michigan;USA
Kailua;HI;Hawaii;USA
Brandon;FL;Florida;USA
Ponce;PR;Puerto Rico;USA
Carlsbad;CA;California;USA
Lowell;MA;Massachusetts;USA
Broken Arrow;OK;Oklahoma;USA
Elgin;IL;Illinois;USA
Gresham;OR;Oregon;USA
League City;TX;Texas;USA
Downey;CA;California;USA
Waterloo;IA;Iowa;USA
Murrieta;CA;California;USA
Leominster;MA;Massachusetts;USA
Longview;TX;Texas;USA
Jacksonville;NC;North Carolina;USA
Pompano Beach;FL;Florida;USA
Bend;OR;Oregon;USA
Miami Gardens;FL;Florida;USA
Costa Mesa;CA;California;USA
Sioux City;IA;Iowa;USA
Everett;WA;Washington;USA
Gilroy;CA;California;USA
San Buenaventura;CA;California;USA
Temecula;CA;California;USA
Sugar Land;TX;Texas;USA
Chico;CA;California;USA
Eau Claire;WI;Wisconsin;USA
El Monte;CA;California;USA
Idaho Falls;ID;Idaho;USA
Dearborn;MI;Michigan;USA
Bloomington;IN;Indiana;USA
West Covina;CA;California;USA
Sparks;NV;Nevada;USA
South Fulton;GA;Georgia;USA
Centennial;CO;Colorado;USA
Sandy Springs;GA;Georgia;USA
Inglewood;CA;California;USA
Hillsboro;OR;Oregon;USA
Columbia;MD;Maryland;USA
Burbank;CA;California;USA
Davie;FL;Florida;USA
El Cajon;CA;California;USA
Jurupa Valley;CA;California;USA
Allen;TX;Texas;USA
Auburn;AL;Alabama;USA
Renton;WA;Washington;USA
Holland;MI;Michigan;USA
Brockton;MA;Massachusetts;USA
Rio Rancho;NM;New Mexico;USA
San Mateo;CA;California;USA
Rialto;CA;California;USA
Spokane Valley;WA;Washington;USA
Charlottesville;VA;Virginia;USA
Menifee;CA;California;USA
Daly City;CA;California;USA
Wichita Falls;TX;Texas;USA
Riverview;FL;Florida;USA
Norwalk;CA;California;USA
Lee's Summit;MO;Missouri;USA
Longmont;CO;Colorado;USA
Vacaville;CA;California;USA
Highlands Ranch;CO;Colorado;USA
Kingsport;TN;Tennessee;USA
San Tan Valley;AZ;Arizona;USA
Quincy;MA;Massachusetts;USA
Edinburg;TX;Texas;USA
Lynn;MA;Massachusetts;USA
San Angelo;TX;Texas;USA
Hesperia;CA;California;USA
Bowling Green;KY;Kentucky;USA
Federal Way;WA;Washington;USA
Carmel;IN;Indiana;USA
Bismarck;ND;North Dakota;USA
Fishers;IN;Indiana;USA
Lafayette;CO;Colorado;USA
Vista;CA;California;USA
Boca Raton;FL;Florida;USA
St. Augustine;FL;Florida;USA
Beaverton;OR;Oregon;USA
Goodyear;AZ;Arizona;USA
Portsmouth;VA;Virginia;USA
Orem;UT;Utah;USA
Sunrise;FL;Florida;USA
Portsmouth;NH;New Hampshire;USA
Arden-Arcade;CA;California;USA
Lawrence;KS;Kansas;USA
Sandy;UT;Utah;USA
Slidell;LA;Louisiana;USA
Buckeye;AZ;Arizona;USA
Livonia;MI;Michigan;USA
Williamsburg;VA;Virginia;USA
Suffolk;VA;Virginia;USA
Compton;CA;California;USA
La Crosse;WI;Wisconsin;USA
Edmond;OK;Oklahoma;USA
Carson;CA;California;USA
San Marcos;CA;California;USA
Tracy;CA;California;USA
Prescott Valley;AZ;Arizona;USA
Middletown;OH;Ohio;USA
Fall River;MA;Massachusetts;USA
San German;PR;Puerto Rico;USA
Santa Fe;NM;New Mexico;USA
Plantation;FL;Florida;USA
Mayaguez;PR;Puerto Rico;USA
New Braunfels;TX;Texas;USA
Roswell;GA;Georgia;USA
Conroe;TX;Texas;USA
South Gate;CA;California;USA
Santa Monica;CA;California;USA
Kirkland;WA;Washington;USA
Hoover;AL;Alabama;USA
O'Fallon;MO;Missouri;USA
Alafaya;FL;Florida;USA
Palm Coast;FL;Florida;USA
Norwalk;CT;Connecticut;USA
Lawton;OK;Oklahoma;USA
Chino;CA;California;USA
Mount Pleasant;SC;South Carolina;USA
Manteca;CA;California;USA
Westminster;CA;California;USA
Florence;SC;South Carolina;USA
Joplin;MO;Missouri;USA
Germantown;MD;Maryland;USA
San Leandro;CA;California;USA
Town 'n' Country;FL;Florida;USA
Clifton;NJ;New Jersey;USA
Waukegan;IL;Illinois;USA
Bloomington;MN;Minnesota;USA
Avondale;AZ;Arizona;USA
Atascocita;TX;Texas;USA
Missoula;MT;Montana;USA
Fort Myers;FL;Florida;USA
Newton;MA;Massachusetts;USA
Lawrence;MA;Massachusetts;USA
Muncie;IN;Indiana;USA
Rapid City;SD;South Dakota;USA
Troy;MI;Michigan;USA
Livermore;CA;California;USA
Citrus Heights;CA;California;USA
Hawthorne;CA;California;USA
Winchester;VA;Virginia;USA
Springdale;AR;Arkansas;USA
Whittier;CA;California;USA
Deerfield Beach;FL;Florida;USA
Decatur;IL;Illinois;USA
San Ramon;CA;California;USA
Vineland;NJ;New Jersey;USA
Mission;TX;Texas;USA
Auburn;WA;Washington;USA
Lake Forest;CA;California;USA
Newport Beach;CA;California;USA
Melbourne;FL;Florida;USA
Brooklyn Park;MN;Minnesota;USA
Bryan;TX;Texas;USA
Westland;MI;Michigan;USA
Napa;CA;California;USA
Baytown;TX;Texas;USA
Cicero;IL;Illinois;USA
Anderson;IN;Indiana;USA
Franklin;TN;Tennessee;USA
Farmington Hills;MI;Michigan;USA
Buena Park;CA;California;USA
Albany;GA;Georgia;USA
Pine Hills;FL;Florida;USA
State College;PA;Pennsylvania;USA
Redwood City;CA;California;USA
Warwick;RI;Rhode Island;USA
Jackson;MI;Michigan;USA
Cranston;RI;Rhode Island;USA
Largo;FL;Florida;USA
Miami Beach;FL;Florida;USA
Alhambra;CA;California;USA
Johns Creek;GA;Georgia;USA
Mountain View;CA;California;USA
Salisbury;MD;Maryland;USA
Morgantown;WV;West Virginia;USA
Silver Spring;MD;Maryland;USA
Layton;UT;Utah;USA
Springfield;OH;Ohio;USA
Lakewood;CA;California;USA
Florence;AL;Alabama;USA
Folsom;CA;California;USA
Madera;CA;California;USA
New Rochelle;NY;New York;USA
Parma;OH;Ohio;USA
Terre Haute;IN;Indiana;USA
Somerville;MA;Massachusetts;USA
Flagstaff;AZ;Arizona;USA
Boynton Beach;FL;Florida;USA
Homestead;FL;Florida;USA
Newark;OH;Ohio;USA
Plymouth;MN;Minnesota;USA
Anniston;AL;Alabama;USA
Texarkana;TX;Texas;USA
Tustin;CA;California;USA
Pharr;TX;Texas;USA
Port Huron;MI;Michigan;USA
Turlock;CA;California;USA
Rancho Cordova;CA;California;USA
The Villages;FL;Florida;USA
Milpitas;CA;California;USA
Perris;CA;California;USA
Upland;CA;California;USA
Alton;IL;Illinois;USA
Pleasanton;CA;California;USA
Kendall;FL;Florida;USA
Jonesboro;AR;Arkansas;USA
Bellflower;CA;California;USA
Battle Creek;MI;Michigan;USA
Chino Hills;CA;California;USA
Cheyenne;WY;Wyoming;USA
Lebanon;PA;Pennsylvania;USA
Carmichael;CA;California;USA
South Jordan;UT;Utah;USA
Davis;CA;California;USA
Elizabethtown;KY;Kentucky;USA
Schaumburg;IL;Illinois;USA
Alameda;CA;California;USA
Hammond;IN;Indiana;USA
Pasco;WA;Washington;USA
Evanston;IL;Illinois;USA
Lehi;UT;Utah;USA
Alexandria;LA;Louisiana;USA
North Port;FL;Florida;USA
Arlington Heights;IL;Illinois;USA
Camarillo;CA;California;USA
Wyoming;MI;Michigan;USA
Flower Mound;TX;Texas;USA
Bethlehem;PA;Pennsylvania;USA
Hattiesburg;MS;Mississippi;USA
Loveland;CO;Colorado;USA
Pittsburg;CA;California;USA
Cedar Park;TX;Texas;USA
Wenatchee;WA;Washington;USA
Southfield;MI;Michigan;USA
Rochester Hills;MI;Michigan;USA
Hammond;LA;Louisiana;USA
Valdosta;GA;Georgia;USA
Owensboro;KY;Kentucky;USA
Apple Valley;CA;California;USA
Woodbury;MN;Minnesota;USA
Pawtucket;RI;Rhode Island;USA
St. Joseph;MO;Missouri;USA
Doral;FL;Florida;USA
Dover;NH;New Hampshire;USA
Missouri City;TX;Texas;USA
Saratoga Springs;NY;New York;USA
Pocatello;ID;Idaho;USA
Oshkosh;WI;Wisconsin;USA
New Britain;CT;Connecticut;USA
Castle Rock;CO;Colorado;USA
Lauderhill;FL;Florida;USA
Broomfield;CO;Colorado;USA
Dale City;VA;Virginia;USA
Bolingbrook;IL;Illinois;USA
Redmond;WA;Washington;USA
Caguas;PR;Puerto Rico;USA
Mansfield;TX;Texas;USA
Ellicott City;MD;Maryland;USA
Sheboygan;WI;Wisconsin;USA
Mansfield;OH;Ohio;USA
Glens Falls;NY;New York;USA
Daytona Beach;FL;Florida;USA
Lodi;CA;California;USA
Redlands;CA;California;USA
Harrisonburg;VA;Virginia;USA
Dothan;AL;Alabama;USA
Cleveland;TN;Tennessee;USA
Jackson;TN;Tennessee;USA
Mount Vernon;NY;New York;USA
Centreville;VA;Virginia;USA
Altoona;PA;Pennsylvania;USA
Framingham;MA;Massachusetts;USA
Camden;NJ;New Jersey;USA
Georgetown;TX;Texas;USA
Baldwin Park;CA;California;USA
Rocklin;CA;California;USA
Porterville;CA;California;USA
Tamarac;FL;Florida;USA
Glen Burnie;MD;Maryland;USA
Blacksburg;VA;Virginia;USA
Wausau;WI;Wisconsin;USA
Sumter;SC;South Carolina;USA
Janesville;WI;Wisconsin;USA
Brunswick;GA;Georgia;USA
Dublin;CA;California;USA
Wilmington;DE;Delaware;USA
Waukesha;WI;Wisconsin;USA
Fairbanks;AK;Alaska;USA
Lakeville;MN;Minnesota;USA
St. Charles;MO;Missouri;USA
Redondo Beach;CA;California;USA
Spring Hill;TN;Tennessee;USA
Bayonne;NJ;New Jersey;USA
Grand Forks;ND;North Dakota;USA
Noblesville;IN;Indiana;USA
Guaynabo;PR;Puerto Rico;USA
El Paso de Robles;CA;California;USA
North Richland Hills;TX;Texas;USA
Maple Grove;MN;Minnesota;USA
Passaic;NJ;New Jersey;USA
Blaine;MN;Minnesota;USA
Lake Elsinore;CA;California;USA
Rogers;AR;Arkansas;USA
Casas Adobes;AZ;Arizona;USA
Sherman;TX;Texas;USA
Walnut Creek;CA;California;USA
Conway;AR;Arkansas;USA
Eastvale;CA;California;USA
Union City;CA;California;USA
Michigan City;IN;Indiana;USA
Poinciana;FL;Florida;USA
Tulare;CA;California;USA
Gary;IN;Indiana;USA
Gaithersburg;MD;Maryland;USA
East Orange;NJ;New Jersey;USA
Wesley Chapel;FL;Florida;USA
West Des Moines;IA;Iowa;USA
Dalton;GA;Georgia;USA
Dubuque;IA;Iowa;USA
Schenectady;NY;New York;USA
Ankeny;IA;Iowa;USA
Maricopa;AZ;Arizona;USA
Eagan;MN;Minnesota;USA
Hanford;CA;California;USA
Bristol;TN;Tennessee;USA
Yorba Linda;CA;California;USA
Weston;FL;Florida;USA
Watsonville;CA;California;USA
Palo Alto;CA;California;USA
South Hill;WA;Washington;USA
Shawnee;KS;Kansas;USA
San Marcos;TX;Texas;USA
Great Falls;MT;Montana;USA
Haverhill;MA;Massachusetts;USA
Union City;NJ;New Jersey;USA
Palatine;IL;Illinois;USA
Longview;WA;Washington;USA
Corvallis;OR;Oregon;USA
Rockville;MD;Maryland;USA
Skokie;IL;Illinois;USA
Mount Vernon;WA;Washington;USA
Casper;WY;Wyoming;USA
Ames;IA;Iowa;USA
Delray Beach;FL;Florida;USA
Sammamish;WA;Washington;USA
Lynwood;CA;California;USA
Dundalk;MD;Maryland;USA
Bethesda;MD;Maryland;USA
Morristown;TN;Tennessee;USA
Juana Diaz;PR;Puerto Rico;USA
Kankakee;IL;Illinois;USA
Fajardo;PR;Puerto Rico;USA
Alpharetta;GA;Georgia;USA
Novi;MI;Michigan;USA
Kenner;LA;Louisiana;USA
Bay City;MI;Michigan;USA
Victoria;TX;Texas;USA
South San Francisco;CA;California;USA
Apex;NC;North Carolina;USA
Parkersburg;WV;West Virginia;USA
Malden;MA;Massachusetts;USA
Castro Valley;CA;California;USA
Bozeman;MT;Montana;USA
Brentwood;NY;New York;USA
Waltham;MA;Massachusetts;USA
Pflugerville;TX;Texas;USA
North Little Rock;AR;Arkansas;USA
Brentwood;CA;California;USA
Laguna Niguel;CA;California;USA
San Clemente;CA;California;USA
Burnsville;MN;Minnesota;USA
Spring;TX;Texas;USA
Port Charlotte;FL;Florida;USA
Eden Prairie;MN;Minnesota;USA
Greenwood;IN;Indiana;USA
Millcreek;UT;Utah;USA
Bellevue;NE;Nebraska;USA
Coon Rapids;MN;Minnesota;USA
Rowlett;TX;Texas;USA
Hamilton;OH;Ohio;USA
Lakewood;WA;Washington;USA
Florence-Graham;CA;California;USA
Commerce City;CO;Colorado;USA
Bossier City;LA;Louisiana;USA
Taylor;MI;Michigan;USA
La Habra;CA;California;USA
Port Orange;FL;Florida;USA
Moore;OK;Oklahoma;USA
Council Bluffs;IA;Iowa;USA
Leander;TX;Texas;USA
Dearborn Heights;MI;Michigan;USA
Reston;VA;Virginia;USA
Montebello;CA;California;USA
Pontiac;MI;Michigan;USA
Encinitas;CA;California;USA
Queen Creek;AZ;Arizona;USA
Medford;MA;Massachusetts;USA
Springfield;OR;Oregon;USA
Hendersonville;TN;Tennessee;USA
Palm Harbor;FL;Florida;USA
Pico Rivera;CA;California;USA
Marietta;GA;Georgia;USA
Wellington;FL;Florida;USA
Sanford;FL;Florida;USA
Woodland;CA;California;USA
Caldwell;ID;Idaho;USA
Huntersville;NC;North Carolina;USA
Bristol;CT;Connecticut;USA
Jupiter;FL;Florida;USA
San Rafael;CA;California;USA
La Mesa;CA;California;USA
Richland;WA;Washington;USA
Revere;MA;Massachusetts;USA
Meriden;CT;Connecticut;USA
Monterey Park;CA;California;USA
Gardena;CA;California;USA
Euless;TX;Texas;USA
Des Plaines;IL;Illinois;USA
West Allis;WI;Wisconsin;USA
North Miami;FL;Florida;USA
St. Cloud;FL;Florida;USA
The Hammocks;FL;Florida;USA
Cupertino;CA;California;USA
Taylorsville;UT;Utah;USA
Petaluma;CA;California;USA
Kokomo;IN;Indiana;USA
Santee;CA;California;USA
Stonecrest;GA;Georgia;USA
Taunton;MA;Massachusetts;USA
White Plains;NY;New York;USA
Palm Beach Gardens;FL;Florida;USA
Chapel Hill;NC;North Carolina;USA
Hoboken;NJ;New Jersey;USA
Parker;CO;Colorado;USA
Blue Springs;MO;Missouri;USA
Shoreline;WA;Washington;USA
St. Clair Shores;MI;Michigan;USA
Horizon West;FL;Florida;USA
Margate;FL;Florida;USA
Orland Park;IL;Illinois;USA
Carson City;NV;Nevada;USA
Midwest City;OK;Oklahoma;USA
Royal Oak;MI;Michigan;USA
Bowie;MD;Maryland;USA
Kettering;OH;Ohio;USA
St. Peters;MO;Missouri;USA
Oak Lawn;IL;Illinois;USA
Towson;MD;Maryland;USA
Coconut Creek;FL;Florida;USA
Decatur;AL;Alabama;USA
Lenexa;KS;Kansas;USA
Bartlett;TN;Tennessee;USA
South Whittier;CA;California;USA
Lake Havasu City;AZ;Arizona;USA
Bel Air South;MD;Maryland;USA
Fountainebleau;FL;Florida;USA
